/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:38:31,125 [INFO ] [Train][E0][it 2600/3188][step 2601] RD 3.4151 | BPP 0.6933 | MSE 0.008372 | PSNR 22.82 | AUX 4663.43
2026-02-13 01:38:47,108 [INFO ] [Train][E0][it 2700/3188][step 2701] RD 3.3480 | BPP 0.6901 | MSE 0.008175 | PSNR 22.92 | AUX 4634.35
2026-02-13 01:39:03,067 [INFO ] [Train][E0][it 2800/3188][step 2801] RD 3.2855 | BPP 0.6870 | MSE 0.007992 | PSNR 23.00 | AUX 4604.73
2026-02-13 01:39:19,014 [INFO ] [Train][E0][it 2900/3188][step 2901] RD 3.2272 | BPP 0.6841 | MSE 0.007822 | PSNR 23.09 | AUX 4574.78
2026-02-13 01:39:34,972 [INFO ] [Train][E0][it 3000/3188][step 3001] RD 3.1723 | BPP 0.6812 | MSE 0.007662 | PSNR 23.17 | AUX 4544.46
2026-02-13 01:39:50,936 [INFO ] [Train][E0][it 3100/3188][step 3101] RD 3.1209 | BPP 0.6786 | MSE 0.007512 | PSNR 23.25 | AUX 4513.85
2026-02-13 01:40:04,886 [INFO ] [Train][E0] RD 3.0773 | BPP 0.6764 | MSE 0.007385 | PSNR 23.32 dB | AUX 4487.01
2026-02-13 01:40:54,886 [INFO ] [Kodak][E0] RD 1.1460 | BPP 0.3969 | MSE 0.002304 | PSNR 26.82 dB
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0] saved block maps for 8 images to ./checkpoints/tic_stage_vis/TIC/5e-3/kodak_block_spatial/epoch_0001
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a1] U=0.023255 E=0.104336 Ehigh=0.010198 Elow=0.092669 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a3] U=0.041162 E=0.155536 Ehigh=0.042627 Elow=0.108374 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a5] U=0.091172 E=0.355372 Ehigh=0.135724 Elow=0.207489 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_a7] U=0.135503 E=0.524734 Ehigh=0.249478 Elow=0.258614 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s0] U=0.514862 E=2.081309 Ehigh=0.958814 Elow=1.056358 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s2] U=0.064809 E=0.287758 Ehigh=0.158592 Elow=0.119810 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s4] U=0.023992 E=0.063082 Ehigh=0.026908 Elow=0.033153 G=0.000000
2026-02-13 01:40:54,887 [INFO ] [Spatial][E0][g_s6] U=0.013071 E=0.042535 Ehigh=0.026678 Elow=0.010654 G=0.000000
2026-02-13 01:40:55,160 [INFO ] Epoch 1/30 | LR 1.00e-04
2026-02-13 01:40:56,033 [INFO ] [Train][E1][it 0/3188][step 3189] RD 1.5915 | BPP 0.6123 | MSE 0.003012 | PSNR 25.27 | AUX 3500.51
2026-02-13 01:41:11,960 [INFO ] [Train][E1][it 100/3188][step 3289] RD 1.4527 | BPP 0.5806 | MSE 0.002682 | PSNR 25.98 | AUX 3462.22
2026-02-13 01:41:27,967 [INFO ] [Train][E1][it 200/3188][step 3389] RD 1.4811 | BPP 0.5880 | MSE 0.002747 | PSNR 25.90 | AUX 3425.72
2026-02-13 01:41:43,930 [INFO ] [Train][E1][it 300/3188][step 3489] RD 1.5004 | BPP 0.5919 | MSE 0.002794 | PSNR 25.84 | AUX 3391.32
2026-02-13 01:41:59,923 [INFO ] [Train][E1][it 400/3188][step 3589] RD 1.5075 | BPP 0.5918 | MSE 0.002816 | PSNR 25.82 | AUX 3356.65
2026-02-13 01:42:15,929 [INFO ] [Train][E1][it 500/3188][step 3689] RD 1.4908 | BPP 0.5905 | MSE 0.002769 | PSNR 25.88 | AUX 3322.41
2026-02-13 01:42:31,874 [INFO ] [Train][E1][it 600/3188][step 3789] RD 1.4839 | BPP 0.5898 | MSE 0.002750 | PSNR 25.92 | AUX 3287.57
2026-02-13 01:42:47,813 [INFO ] [Train][E1][it 700/3188][step 3889] RD 1.4725 | BPP 0.5876 | MSE 0.002722 | PSNR 25.96 | AUX 3252.78
2026-02-13 01:43:03,752 [INFO ] [Train][E1][it 800/3188][step 3989] RD 1.4665 | BPP 0.5871 | MSE 0.002705 | PSNR 25.99 | AUX 3217.89
2026-02-13 01:43:19,700 [INFO ] [Train][E1][it 900/3188][step 4089] RD 1.4660 | BPP 0.5875 | MSE 0.002702 | PSNR 26.00 | AUX 3182.93
2026-02-13 01:43:35,643 [INFO ] [Train][E1][it 1000/3188][step 4189] RD 1.4584 | BPP 0.5869 | MSE 0.002681 | PSNR 26.03 | AUX 3148.35
2026-02-13 01:43:51,669 [INFO ] [Train][E1][it 1100/3188][step 4289] RD 1.4472 | BPP 0.5850 | MSE 0.002652 | PSNR 26.08 | AUX 3113.65
2026-02-13 01:44:07,640 [INFO ] [Train][E1][it 1200/3188][step 4389] RD 1.4424 | BPP 0.5846 | MSE 0.002638 | PSNR 26.10 | AUX 3079.26
2026-02-13 01:44:23,657 [INFO ] [Train][E1][it 1300/3188][step 4489] RD 1.4377 | BPP 0.5840 | MSE 0.002626 | PSNR 26.12 | AUX 3045.29
2026-02-13 01:44:39,887 [INFO ] [Train][E1][it 1400/3188][step 4589] RD 1.4346 | BPP 0.5825 | MSE 0.002621 | PSNR 26.13 | AUX 3011.67
2026-02-13 01:44:55,878 [INFO ] [Train][E1][it 1500/3188][step 4689] RD 1.4272 | BPP 0.5812 | MSE 0.002602 | PSNR 26.16 | AUX 2978.22
2026-02-13 01:45:11,877 [INFO ] [Train][E1][it 1600/3188][step 4789] RD 1.4200 | BPP 0.5799 | MSE 0.002584 | PSNR 26.19 | AUX 2944.52
2026-02-13 01:45:27,824 [INFO ] [Train][E1][it 1700/3188][step 4889] RD 1.4158 | BPP 0.5789 | MSE 0.002574 | PSNR 26.21 | AUX 2911.01
2026-02-13 01:45:43,764 [INFO ] [Train][E1][it 1800/3188][step 4989] RD 1.4089 | BPP 0.5776 | MSE 0.002557 | PSNR 26.24 | AUX 2877.65
2026-02-13 01:45:59,716 [INFO ] [Train][E1][it 1900/3188][step 5089] RD 1.4054 | BPP 0.5772 | MSE 0.002547 | PSNR 26.26 | AUX 2844.33
2026-02-13 01:46:15,675 [INFO ] [Train][E1][it 2000/3188][step 5189] RD 1.4027 | BPP 0.5767 | MSE 0.002541 | PSNR 26.27 | AUX 2811.21
2026-02-13 01:46:31,589 [INFO ] [Train][E1][it 2100/3188][step 5289] RD 1.3980 | BPP 0.5759 | MSE 0.002528 | PSNR 26.29 | AUX 2778.19
2026-02-13 01:46:47,513 [INFO ] [Train][E1][it 2200/3188][step 5389] RD 1.3925 | BPP 0.5747 | MSE 0.002515 | PSNR 26.31 | AUX 2745.26
2026-02-13 01:47:03,478 [INFO ] [Train][E1][it 2300/3188][step 5489] RD 1.3891 | BPP 0.5738 | MSE 0.002508 | PSNR 26.32 | AUX 2712.32
2026-02-13 01:47:19,407 [INFO ] [Train][E1][it 2400/3188][step 5589] RD 1.3856 | BPP 0.5730 | MSE 0.002499 | PSNR 26.34 | AUX 2679.32
2026-02-13 01:47:35,360 [INFO ] [Train][E1][it 2500/3188][step 5689] RD 1.3818 | BPP 0.5721 | MSE 0.002490 | PSNR 26.36 | AUX 2646.31
2026-02-13 01:47:51,363 [INFO ] [Train][E1][it 2600/3188][step 5789] RD 1.3781 | BPP 0.5714 | MSE 0.002481 | PSNR 26.37 | AUX 2613.52
2026-02-13 01:48:07,325 [INFO ] [Train][E1][it 2700/3188][step 5889] RD 1.3733 | BPP 0.5706 | MSE 0.002469 | PSNR 26.40 | AUX 2580.59
2026-02-13 01:48:23,230 [INFO ] [Train][E1][it 2800/3188][step 5989] RD 1.3715 | BPP 0.5702 | MSE 0.002465 | PSNR 26.40 | AUX 2547.50
2026-02-13 01:48:39,353 [INFO ] [Train][E1][it 2900/3188][step 6089] RD 1.3659 | BPP 0.5688 | MSE 0.002451 | PSNR 26.43 | AUX 2514.44
2026-02-13 01:48:55,311 [INFO ] [Train][E1][it 3000/3188][step 6189] RD 1.3615 | BPP 0.5680 | MSE 0.002441 | PSNR 26.45 | AUX 2481.17
2026-02-13 01:49:11,221 [INFO ] [Train][E1][it 3100/3188][step 6289] RD 1.3567 | BPP 0.5670 | MSE 0.002429 | PSNR 26.47 | AUX 2447.69
2026-02-13 01:49:25,020 [INFO ] [Train][E1] RD 1.3537 | BPP 0.5666 | MSE 0.002421 | PSNR 26.48 dB | AUX 2418.45
2026-02-13 01:50:14,872 [INFO ] [Kodak][E1] RD 0.9038 | BPP 0.3638 | MSE 0.001661 | PSNR 28.25 dB
2026-02-13 01:50:14,873 [INFO ] [Spatial][E1] saved block maps for 8 images to ./checkpoints/tic_stage_vis/TIC/5e-3/kodak_block_spatial/epoch_0002
